iter	Passed	Remaining
1220	1933	1944
1221	1934	1942
1222	1935	1939
1223	1935	1937
1224	1936	1935
1225	1938	1933
1226	1939	1931
1227	1940	1929
1228	1942	1928
1229	1946	1928
1230	1947	1927
1231	1948	1925
1232	1950	1923
1233	1950	1920
1234	1951	1918
1235	1952	1916
1236	1953	1913
1237	1953	1911
1238	1955	1909
1239	1956	1907
1240	1959	1907
1241	1961	1905
1242	1962	1903
1243	1962	1901
1244	1963	1899
1245	1964	1897
1246	1965	1894
1247	1966	1892
1248	1967	1889
1249	1968	1887
1250	1968	1885
1251	1969	1883
1252	1970	1881
1253	1971	1878
1254	1972	1876
1255	1973	1874
1256	1974	1872
1257	1975	1869
1258	1975	1867
1259	1976	1865
1260	1977	1862
1261	1978	1860
1262	1978	1858
1263	1979	1855
1264	1980	1853
1265	1981	1851
1266	1981	1848
1267	1982	1846
1268	1983	1843
1269	1983	1841
1270	1984	1839
1271	1987	1838
1272	1989	1837
1273	1990	1835
1274	1991	1833
1275	1992	1831
1276	1993	1829
1277	1994	1827
1278	1995	1825
1279	1995	1822
1280	1996	1820
1281	1997	1818
1282	1997	1815
1283	1998	1813
1284	1999	1811
1285	2001	1810
1286	2003	1808
1287	2003	1806
1288	2004	1804
1289	2005	1801
1290	2006	1799
1291	2007	1797
1292	2007	1795
1293	2008	1792
1294	2009	1790
1295	2010	1788
1296	2010	1786
1297	2011	1783
1298	2012	1781
1299	2013	1779
1300	2013	1776
1301	2016	1776
1302	2017	1773
1303	2017	1771
1304	2018	1769
1305	2020	1768
1306	2021	1766
1307	2022	1763
1308	2022	1761
1309	2023	1759
1310	2024	1756
1311	2024	1754
1312	2025	1752
1313	2026	1750
1314	2026	1747
1315	2027	1745
1316	2028	1743
1317	2030	1742
1318	2031	1740
1319	2032	1738
1320	2032	1735
1321	2033	1733
1322	2034	1731
1323	2035	1729
1324	2035	1727
1325	2036	1724
1326	2037	1722
1327	2038	1720
1328	2039	1718
1329	2040	1716
1330	2040	1714
1331	2041	1712
1332	2042	1709
1333	2047	1711
1334	2049	1710
1335	2050	1708
1336	2051	1706
1337	2052	1704
1338	2053	1702
1339	2056	1702
1340	2059	1701
1341	2062	1701
1342	2064	1699
1343	2066	1699
1344	2068	1697
1345	2069	1695
1346	2070	1694
1347	2072	1692
1348	2074	1691
1349	2075	1689
1350	2077	1688
1351	2080	1687
1352	2081	1686
1353	2083	1684
1354	2084	1682
1355	2085	1680
1356	2087	1679
1357	2090	1679
1358	2091	1677
1359	2092	1675
1360	2093	1673
1361	2094	1671
1362	2095	1669
1363	2096	1667
1364	2097	1665
1365	2098	1663
